Radial Distance r (a.u.),Computed Wavefunction
0.005,1.3023281949317633
0.01,1.2893901681748992
0.015,1.2765940989001119
0.02,1.2639384335381503
0.025,1.2514216297565863
0.03,1.239042156694903
0.035,1.2267984951808901
0.04,1.2146891379293405
0.045,1.2027125897237945
0.05,1.1908673675821266
0.055,1.1791520009066572
0.06,1.1675650316196153
0.065,1.1561050142844587
0.07,1.1447705162139457
0.075,1.1335601175653107
0.08,1.1224724114234095
0.085,1.1115060038722744
0.09,1.1006595140556241
0.095,1.089931574226973
0.1,1.0793208297897432
0.105,1.0688259393279556
0.11,1.0584455746279433
0.115,1.0481784206914821
0.12,1.03802317574095
0.125,1.027978551216701
0.13,1.01804327176728
0.135,1.0082160752326388
0.14,0.998495712621024
0.145,0.9888809480795021
0.15,0.9793705588588313
0.155,0.9699633352727687
0.16,0.9606580806522335
0.165,0.9514536112945537
0.17,0.9423487564081573
0.17500000000000002,0.9333423580529481
0.18,0.9244332710765789
0.185,0.9156203630469647
0.19,0.9069025141812056
0.195,0.8982786172711769
0.2,0.8897475776060205
0.20500000000000002,0.8813083128916676
0.21,0.8729597531677266
0.215,0.8647008407218261
0.22,0.8565305300015718
0.225,0.8484477875244504
0.23,0.840451591785632
0.23500000000000001,0.8325409331640028
0.24,0.824714813826503
0.245,0.8169722476308996
0.25,0.8093122600272159
0.255,0.8017338879578074
0.26,0.7942361797564021
0.265,0.7868181950460227
0.27,0.7794790046360469
0.275,0.7722176904184586
0.28,0.7650333452634032
0.28500000000000003,0.7579250729141276
0.29,0.750891987881432
0.295,0.74393321533769
0.3,0.7370478910105459
0.305,0.730235161076334
0.31,0.7234941820533626
0.315,0.7168241206950315
0.32,0.710224153882962
0.325,0.7036934685201298
0.33,0.6972312614240818
0.335,0.6908367392202936
0.34,0.684509118235756
0.34500000000000003,0.6782476243927744
0.35000000000000003,0.6720514931030773
0.355,0.665919969162283
0.36,0.6598523066447459
0.365,0.6538477687988266
0.37,0.6479056279426295
0.375,0.6420251653602541
0.38,0.6362056711985752
0.385,0.6304464443645911
0.39,0.6247467924233635
0.395,0.6191060314965952
0.4,0.613523486161861
0.405,0.6079984893524932
0.41000000000000003,0.6025303822581787
0.41500000000000004,0.597118514226298
0.42,0.5917622426639314
0.425,0.5864609329407158
0.43,0.5812139582923899
0.435,0.5760206997251683
0.44,0.5708805459209237
0.445,0.5657928931431394
0.45,0.5607571451437185
0.455,0.5557727130706538
0.46,0.5508390153764527
0.465,0.545955477727514
0.47000000000000003,0.5411215329142922
0.47500000000000003,0.5363366207623784
0.48,0.5316001880443999
0.485,0.5269116883928449
0.49,0.5222705822137332
0.495,0.5176763366011854
0.5,0.5131284252528645
0.505,0.5086263283863125
0.51,0.504169532656194
0.515,0.49975753107237186
0.52,0.49538982291894035
0.525,0.4910659136740915
0.53,0.4867853149308922
0.535,0.4825475443189658
0.54,0.4783521254270014
0.545,0.47419858772619916
0.55,0.4700864664945752
0.555,0.4660153027421129
0.56,0.4619846431368403
0.5650000000000001,0.4579940399317259
0.5700000000000001,0.4540430508924689
0.5750000000000001,0.45013123922612963
0.58,0.44625817351062147
0.585,0.442423427625052
0.59,0.4386265806809064
0.595,0.43486721695407105
0.6,0.4311449258176984
0.605,0.42745930167585516
0.61,0.42380994389806886
0.615,0.42019645675461514
0.62,0.41661844935264936
0.625,0.4130755355731351
0.63,0.4095673340085641
0.635,0.40609346790146666
0.64,0.4026535650837048
0.645,0.39924725791651805
0.65,0.3958741832313878
0.655,0.39253398227160347
0.66,0.38922630063460906
0.665,0.38595078821510603
0.67,0.38270709914887646
0.675,0.3794948917573316
0.68,0.3763138284928046
0.685,0.3731635758845482
0.6900000000000001,0.3700438044854343
0.6950000000000001,0.3669541888193738
0.7000000000000001,0.36389440732939765
0.705,0.3608641423264652
0.71,0.35786307993890715
0.715,0.3548909100625837
0.72,0.35194732631166353
0.725,0.34903202597008703
0.73,0.346144709943668
0.735,0.3432850827128404
0.74,0.3404512710245428
0.745,0.33764301785270084
0.75,0.3348600688871782
0.755,0.3321021725087742
0.76,0.3293690797640974
0.765,0.3266605443404542
0.77,0.32397632254067127
0.775,0.3213161732579162
0.78,0.31867985795053305
0.785,0.3160671406168905
0.79,0.31347778777027974
0.795,0.310911568413844
0.8,0.3083682540155898
0.805,0.3058476184834519
0.81,0.3033494381404623
0.8150000000000001,0.3008734917000007
0.8200000000000001,0.2984195602411506
0.8250000000000001,0.29598742718417476
0.8300000000000001,0.2935768782661095
0.835,0.2911877015164816
0.84,0.28881968723316753
0.845,0.28647262795838974
0.85,0.284146318454868
0.855,0.28184055568211563
0.86,0.2795551387729054
0.865,0.2772898690098775
0.87,0.2750445498023489
0.875,0.27281898666325904
0.88,0.2706129871863109
0.885,0.2684263610232958
0.89,0.2662589198615728
0.895,0.2641104774017647
0.9,0.26198084933561194
0.905,0.2598698533240373
0.91,0.2577773089753855
0.915,0.25570303782386183
0.92,0.2536468633081653
0.925,0.2516086107503131
0.93,0.24958810733465533
0.935,0.24758518208710423
0.9400000000000001,0.24559966585453594
0.9450000000000001,0.24363139128441197
0.9500000000000001,0.24168019280458716
0.9550000000000001,0.23974590660331538
0.96,0.23782837060946005
0.965,0.2359274244728978
0.97,0.23404290954512222
0.975,0.23217466886004423
0.98,0.2303225471149905
0.985,0.22848639065190265
0.99,0.22666604743872742
0.995,0.22486136705100207
1.0,0.22307220065364378
1.0050000000000001,0.22129840098292217
1.01,0.21953982232863117
1.0150000000000001,0.21779632051645686
1.02,0.2160677528905291
1.025,0.21435397829616584
1.03,0.21265485706281084
1.035,0.2109702509871571
1.04,0.20930002331645473
1.045,0.2076440387320096
1.05,0.2060021633328627
1.055,0.20437426461965197
1.06,0.20276021147866205
1.065,0.2011598741660471
1.07,0.19957312429223747
1.075,0.19799983480651728
1.08,0.1964398799817931
1.085,0.19489313539951889
1.09,0.193359477934805
1.095,0.1918387857416971
1.1,0.19033093823862582
1.105,0.18883581609402195
1.11,0.1873533012121008
1.115,0.1858832767188116
1.12,0.18442562694795325
1.125,0.1829802374274471
1.1300000000000001,0.18154699486577683
1.135,0.18012578713858385
1.1400000000000001,0.1787165032754173
1.145,0.17731903344664915
1.1500000000000001,0.1759332689505349
1.155,0.17455910220043183
1.16,0.173196426712165
1.165,0.1718451370915499
1.17,0.17050512902205356
1.175,0.1691762992526109
1.18,0.16785854558557936
1.185,0.16655176686484183
1.19,0.1652558629640503
1.195,0.16397073477500437
1.2,0.16269628419617901
1.205,0.16143241412137987
1.21,0.16017902842853937
1.215,0.15893603196864334
1.22,0.15770333055479677
1.225,0.15648083095141144
1.23,0.15526844086353023
1.235,0.15406606892627878
1.24,0.15287362469444218
1.245,0.1516910186321613
1.25,0.1505181621027667
1.2550000000000001,0.14935496735872164
1.26,0.14820134753169206
1.2650000000000001,0.1470572166227363
1.27,0.1459224894926101
1.2750000000000001,0.1447970818521877
1.28,0.1436809102530035
1.285,0.14257389207790297
1.29,0.14147594553180298
1.295,0.14038698963257495
1.3,0.1393069442020228
1.305,0.13823572985698193
1.31,0.13717326800051913
1.315,0.13611948081323563
1.32,0.13507429124468248
1.325,0.13403762300487462
1.33,0.13300940055590704
1.335,0.131989549103672
1.34,0.1309779945896761
1.345,0.1299746636829565
1.35,0.12897948377209242
1.355,0.1279923829573139
1.36,0.12701329004270265
1.365,0.12604213452849494
1.37,0.12507884660346433
1.375,0.12412335713740602
1.3800000000000001,0.12317559767370212
1.385,0.12223550042198718
1.3900000000000001,0.12130299825089318
1.395,0.12037802468088112
1.4000000000000001,0.11946051387716536
1.405,0.11855040064271574
1.41,0.11764762041134387
1.415,0.11675210924087877
1.42,0.1158638038064106
1.425,0.11498264139363602
1.43,0.11410855989225548
1.435,0.11324149778947613
1.44,0.1123813941635724
1.445,0.11152818867753327
1.45,0.1106818215727826
1.455,0.10984223366297236
1.46,0.10900936632785284
1.465,0.10818316150721206
1.47,0.10736356169488977
1.475,0.10655050993286058
1.48,0.10574394980539004
1.485,0.10494382543325294
1.49,0.10415008146802897
1.495,0.10336266308645986
1.5,0.10258151598487396
1.5050000000000001,0.1018065863736775
1.51,0.10103782097191182
1.5150000000000001,0.10027516700187095
1.52,0.09951857218378636
1.5250000000000001,0.09876798473057108
1.53,0.09802335334262902
1.5350000000000001,0.09728462720272035
1.54,0.09655175597089202
1.545,0.09582468977946444
1.55,0.0951033792280786
1.555,0.09438777537879804
1.56,0.09367782975127203
1.565,0.0929734943179512
1.57,0.09227472149936591
1.575,0.09158146415944594
1.58,0.09089367560091113
1.585,0.09021130956070385
1.59,0.08953432020547802
1.595,0.08886266212714365
1.6,0.08819629033845541
1.605,0.08753516026866175
1.61,0.08687922775919317
1.615,0.08622844905941415
1.62,0.08558278082240757
1.625,0.08494218010082452
1.6300000000000001,0.08430660434276915
1.635,0.08367601138773591
1.6400000000000001,0.08305035946259348
1.645,0.08242960717761448
1.6500000000000001,0.08181371352255008
1.655,0.08120263786275117
1.6600000000000001,0.08059633993532991
1.665,0.07999477984537011
1.67,0.07939791806217764
1.675,0.07880571541557449
1.68,0.07821813309223404
1.685,0.07763513263206256
1.69,0.07705667592461335
1.695,0.07648272520554861
1.7,0.07591324305314004
1.705,0.07534819238480618
1.71,0.07478753645369245
1.715,0.07423123884528797
1.72,0.07367926347408017
1.725,0.07313157458024744
1.73,0.07258813672639199
1.735,0.07204891479430128
1.74,0.07151387398175794
1.745,0.070982979799373
1.75,0.07045619806746371
1.7550000000000001,0.06993349491296248
1.76,0.06941483676635933
1.7650000000000001,0.06890019035868157
1.77,0.06838952271850395
1.7750000000000001,0.06788280116899612
1.78,0.06737999332499736
1.7850000000000001,0.066881067090129
1.79,0.06638599065393656
1.795,0.06589473248906363
1.8,0.06540726134845573
1.805,0.06492354626260033
1.81,0.06444355653678786
1.815,0.0639672617484148
1.82,0.06349463174430567
1.825,0.06302563663807101
1.83,0.06256024680749223
1.835,0.0620984328919355
1.84,0.06164016578979353
1.845,0.0611854166559563
1.85,0.06073415689930797
1.855,0.06028635818025318
1.86,0.05984199240826813
1.865,0.059401031739479616
1.87,0.05896344857427119
1.875,0.058529215554912445
1.8800000000000001,0.05809830556321754
1.885,0.05767069171822679
1.8900000000000001,0.05724634737391359
1.895,0.05682524611691738
1.9000000000000001,0.05640736176430027
1.905,0.0559926683613274
1.9100000000000001,0.0555811401792719
1.915,0.05517275171324305
1.92,0.05476747768003873
1.925,0.05436529301601916
1.93,0.053966172875005665
1.935,0.053570092626199675
1.94,0.05317702785212509
1.945,0.05278695434659379
1.95,0.052399848112690016
1.955,0.052015685360778906
1.96,0.05163444250653534
1.965,0.051256096168992536
1.97,0.05088062316861302
1.975,0.050508000525379584
1.98,0.050138205456906074
1.985,0.049771215376567896
1.99,0.04940700789165336
1.995,0.049045560801534084
2.0,0.04868685209585347
2.005,0.048330859952736206
2.0100000000000002,0.047977562737015526
2.015,0.04762693899847902
2.02,0.04727896747013254
2.025,0.04693362706648379
2.0300000000000002,0.0465908968818422
2.035,0.046250756188636694
2.04,0.04591318443575302
2.045,0.045578161246885296
2.05,0.04524566641890627
2.055,0.044915679920257134
2.06,0.04458818188934801
